student_id_hash,institution_type,faculty,department,level,entry_mode,age,sex,state_of_origin,residency_status,socioeconomic_band,utme_score,post_utme_score,entry_qualification,prev_semester_gpa,cumulative_cgpa,carryover_courses_count,failed_courses_prev_semester,core_courses_failed_total,course_load_units,continuous_assessment_avg,attendance_rate,library_visits_per_month,lms_logins_per_week,assignment_submission_rate,late_registration_flag,financial_clearance_delay_days,disciplinary_case_flag,counselling_visits_semester,medical_leave_flag,performance_risk
3be0815ea920402494312c0795dc23a7,State,Social Sciences,Sociology,400,UTME,21,Female,Ondo,OffCampus,Middle,225,65.3,SSCE,3.09,3.23,2,0,2,17,29.6,0.62,5,10,0.84,1,3,0,0,0,1
3ab5dd361e7c485ab8af7873b19fddab,Federal,Social Sciences,Sociology,300,DirectEntry,24,Male,Cross River,OffCampus,High,232,51.2,HND,2.16,2.65,3,0,7,22,38.5,0.54,0,6,0.53,1,1,0,1,0,0
c77d243b44284bf78042d6b73b53079b,Private,Management Sciences,Accounting,200,UTME,19,Male,Nasarawa,OffCampus,Low,163,66.1,SSCE,1.7,2.58,3,2,4,22,30.9,0.63,3,3,0.59,1,7,0,0,0,0
ae8ed9f59306491d8cc3062c1307cff4,State,Arts,Linguistics,400,UTME,21,Male,Oyo,OnCampus,High,243,50.4,SSCE,4.33,4.01,0,0,0,18,40.0,0.7,3,4,0.55,0,2,0,3,0,0
c8c6bfb5ed1644869002f67aabc18224,Federal,Sciences,Physics,100,UTME,19,Female,Kwara,OnCampus,Low,230,80.0,SSCE,1.95,2.25,2,1,2,22,40.0,0.7,4,3,0.58,1,6,0,0,0,1
ca54bbe3a7504eafaaace30286006538,Private,Sciences,Physics,400,UTME,22,Female,Enugu,OnCampus,Middle,218,67.5,SSCE,2.09,2.53,1,1,3,22,35.7,0.67,5,5,0.56,0,0,0,0,0,0
6712304bc8c04540bf37f761203898ef,State,Social Sciences,Political Science,300,UTME,21,Male,Borno,OnCampus,Low,233,84.8,SSCE,3.68,3.46,1,0,1,23,40.0,0.55,4,8,0.84,0,5,0,0,0,1
5f875f0295de4e3d8d886433c238605a,State,Social Sciences,Psychology,100,UTME,20,Male,Bayelsa,OnCampus,Low,206,51.8,SSCE,3.16,2.88,0,1,1,26,40.0,0.75,2,3,0.57,1,3,0,0,0,1
9f3cade76b8c418b9fba4ccdd8540c6e,Federal,Sciences,Biochemistry,100,UTME,19,Male,Ogun,OnCampus,Low,199,77.5,SSCE,2.6,2.88,0,3,1,19,40.0,0.63,4,8,0.59,1,3,0,0,0,1
65acc8c9752542be836a234462c072b7,State,Engineering,Chemical Engineering,400,UTME,21,Female,Kaduna,OffCampus,Middle,212,44.0,SSCE,3.85,3.53,1,0,1,20,38.1,0.67,5,8,0.62,0,4,0,1,0,0
f1219355632a44bdbab0764e814a48e7,Federal,Arts,English,200,UTME,21,Male,Adamawa,OffCampus,Low,204,64.1,SSCE,3.11,2.39,2,1,2,24,30.5,0.64,2,3,0.61,1,4,0,0,0,1
7637a37cdfa641729d16982d7e156fbb,Private,Management Sciences,Accounting,400,UTME,21,Female,Zamfara,OffCampus,Middle,296,55.7,SSCE,3.62,3.15,1,0,1,22,39.2,0.49,4,9,0.96,0,0,0,1,0,0
b1a737866c444273a286886eed53e71b,State,Social Sciences,Sociology,400,UTME,21,Male,Lagos,OffCampus,High,252,57.5,SSCE,3.36,2.94,2,1,2,20,40.0,0.43,5,4,0.17,0,0,0,0,0,0
4e55c906e308492590bf2cd2c98ed731,State,Engineering,Mechanical Engineering,400,UTME,23,Male,Oyo,OffCampus,Low,186,56.8,SSCE,2.64,2.53,1,1,4,24,34.4,0.56,2,2,0.62,0,3,0,1,0,0
34675c8413a9485fb7569819f5e0e3ff,Federal,Sciences,Physics,200,UTME,21,Female,Jigawa,OnCampus,Low,291,52.9,SSCE,3.89,4.05,0,0,0,27,40.0,0.63,7,10,0.92,0,3,0,0,0,0
48a1f76087264cf9891daa7745baba57,Federal,Social Sciences,Political Science,400,UTME,21,Male,Taraba,OffCampus,Low,205,49.4,SSCE,1.87,1.89,2,1,2,22,40.0,0.74,0,0,0.49,1,5,0,0,0,0
efaea9d55cfc4601bcacdda603437166,State,Engineering,Chemical Engineering,500,UTME,21,Male,Borno,OnCampus,Low,221,57.6,SSCE,2.41,2.26,1,3,2,17,27.8,0.43,1,3,0.67,0,4,0,1,0,0
3e5866ee2bbc488f9bc6d636eba835b8,Federal,Social Sciences,Political Science,100,UTME,20,Female,Borno,OffCampus,Middle,251,63.2,SSCE,2.0,2.44,1,1,1,21,34.2,0.55,3,4,0.78,0,3,0,0,0,1
2f715ff00e9a4004b8a7df5c2581176f,State,Social Sciences,Sociology,200,Transfer,22,Male,Rivers,OffCampus,Middle,151,73.6,ND,3.13,3.4,0,0,0,24,34.8,0.66,4,5,0.66,0,0,0,1,0,0
b6d639200147442fb000005ab6e0e5c2,State,Sciences,Mathematics,200,UTME,19,Male,Rivers,OffCampus,Low,212,65.0,SSCE,2.03,2.53,0,0,0,24,32.6,0.7,4,7,0.53,0,7,0,1,0,0
f280186ef3264c969b0ea3327e4d2653,State,Sciences,Microbiology,200,UTME,19,Male,Kano,OnCampus,Low,200,73.7,SSCE,2.7,2.62,0,1,1,20,36.1,0.44,6,8,0.76,0,3,0,0,0,1
90a4f695599740e0ba86f521c4e7172b,Federal,Sciences,Physics,400,UTME,21,Male,Bauchi,OffCampus,Middle,227,47.2,SSCE,2.19,2.16,2,3,4,18,31.0,0.32,3,3,0.66,0,3,0,2,0,0
22ac0085d8f74996a31056f1d9288b76,Private,Management Sciences,Banking and Finance,300,UTME,20,Female,Edo,OnCampus,Low,233,57.7,SSCE,2.61,2.84,2,1,2,25,40.0,0.75,4,4,0.64,1,4,0,0,0,0
60482d60bec64b7fbffd8cd5b08b533d,Private,Social Sciences,Psychology,300,UTME,19,Male,Ogun,OnCampus,Middle,217,69.1,SSCE,3.76,3.47,0,0,0,22,40.0,0.66,3,7,0.79,0,0,0,0,0,0
aa6b7451cc954afb8e7b3a4b0d0f25ec,State,Sciences,Microbiology,200,UTME,19,Female,Oyo,OnCampus,High,216,65.4,SSCE,2.86,3.23,1,0,1,28,40.0,0.72,3,6,0.82,1,3,0,0,0,0
da363e8d0d734c369c1d43b6e7510b14,Federal,Management Sciences,Business Administration,100,DirectEntry,20,Female,Enugu,OnCampus,Low,257,53.4,ND,2.82,3.06,3,1,3,21,38.7,0.71,8,3,0.66,1,5,0,0,0,0
495d724062ea4fb181eb38ca7e6a64bd,State,Social Sciences,Economics,200,UTME,19,Female,Akwa Ibom,OffCampus,Middle,231,71.3,SSCE,2.48,2.21,5,2,8,28,34.1,0.64,3,6,0.64,0,1,0,1,0,1
c8404c1f5b444a98a4a47c93e177fd60,Federal,Social Sciences,Sociology,400,UTME,22,Female,Lagos,OffCampus,Middle,221,56.7,SSCE,3.17,2.84,0,0,0,23,37.1,0.54,2,5,0.72,0,1,0,0,0,0
ff51ca3d5f244c0bb674bbf698fe0ce1,Federal,Management Sciences,Banking and Finance,300,UTME,22,Female,Ogun,OnCampus,Middle,225,54.2,SSCE,2.84,3.12,0,2,0,21,39.4,0.53,5,9,0.61,0,0,1,0,0,0
fde0bc50a5204fd7ac19ae648a386e70,State,Sciences,Microbiology,200,UTME,20,Female,Imo,OffCampus,Middle,284,66.9,SSCE,2.91,2.83,0,2,1,25,40.0,0.34,5,2,0.82,1,2,0,0,0,0
0a1f70c667c34ba795cca2b1e6497e66,State,Sciences,Biochemistry,400,Transfer,22,Male,Kogi,OffCampus,Middle,226,62.1,ND,3.14,3.41,2,0,2,24,31.9,0.52,3,7,0.56,0,1,0,1,0,0
a6f164ad874640729b67899be28e83e4,Private,Social Sciences,Economics,100,UTME,19,Male,Zamfara,OffCampus,Middle,202,56.8,SSCE,3.33,3.4,0,0,0,24,40.0,0.65,2,7,0.68,1,1,0,0,0,0
73a3811003e843bfa61317cdfcff70c2,Federal,Sciences,Biochemistry,200,UTME,19,Female,Delta,OffCampus,Middle,153,56.4,SSCE,2.39,2.34,3,1,5,28,31.3,0.45,2,6,0.71,1,1,0,0,0,0
9085ce359b124d1dbf83b9f43853a118,Federal,Social Sciences,Economics,200,UTME,17,Male,Kogi,OffCampus,Middle,170,51.3,SSCE,3.33,3.13,1,1,1,20,38.9,0.48,3,3,0.53,0,2,0,2,0,0
c4e12481a3d54b319bb6c04c6a4a19df,State,Sciences,Mathematics,500,UTME,23,Female,Kwara,OffCampus,Middle,204,58.0,SSCE,2.97,2.86,2,0,3,15,30.6,0.59,3,3,0.77,1,4,0,0,0,0
62b41b1afad54ed9aa94893e4a8eb08b,Federal,Sciences,Microbiology,400,UTME,21,Male,Kebbi,OffCampus,Middle,216,73.0,SSCE,3.72,3.62,0,0,2,16,40.0,0.82,3,6,0.75,0,0,0,0,0,1
88904c63b45f4fb78d45c1c9dab8f8d7,Federal,Sciences,Computer Science,300,UTME,23,Female,Plateau,OffCampus,Middle,201,64.4,SSCE,3.64,4.02,0,0,0,20,40.0,0.7,8,7,0.94,0,4,0,0,0,0
060a70953e6e4901900699a7f18adc35,State,Engineering,Civil Engineering,100,DirectEntry,23,Male,Kwara,OnCampus,Middle,232,71.6,ND,2.62,2.48,0,4,1,26,39.4,0.41,7,3,0.7,1,5,0,0,0,0
b2b9c7a64c2d4f758407a5b0d21d513b,Federal,Sciences,Mathematics,100,UTME,19,Female,Kano,OffCampus,Low,200,67.2,SSCE,3.41,3.22,2,0,3,27,34.8,0.77,2,8,0.66,0,3,0,0,0,0
5d43952c9c234908bd661c111e1716cb,State,Sciences,Mathematics,300,UTME,20,Male,Bauchi,OnCampus,Low,188,55.9,SSCE,3.69,3.45,0,0,0,22,40.0,0.55,3,7,0.74,0,0,0,0,0,0
c03e7f6dd2e04033be5779d6cba17e53,Federal,Management Sciences,Banking and Finance,200,DirectEntry,22,Male,Nasarawa,OffCampus,Low,241,45.5,ND,2.25,2.5,4,1,7,23,40.0,0.73,4,3,0.66,0,2,0,1,0,0
87eb81eb29ae4958b9585e65ca880b9d,State,Engineering,Civil Engineering,400,DirectEntry,21,Female,Bauchi,OnCampus,Low,268,52.7,ND,3.19,2.87,2,0,3,24,36.5,0.56,3,0,0.94,0,3,0,0,0,0
a3510b13eac9410c82f754d09085dc4a,State,Engineering,Civil Engineering,400,UTME,19,Female,Adamawa,OnCampus,Middle,181,55.3,SSCE,2.01,2.47,3,1,5,21,36.8,0.56,6,5,0.63,0,0,0,0,0,0
835f436778814798bf31d598dcbd04e8,Federal,Sciences,Computer Science,200,UTME,18,Female,Kano,OffCampus,Low,229,54.5,SSCE,2.74,2.89,2,2,2,24,28.0,0.78,0,4,0.64,0,3,0,0,0,0
62a4d9a7748b46e9918c8e3155a93556,State,Engineering,Chemical Engineering,400,UTME,21,Female,Kogi,OffCampus,Middle,153,71.8,SSCE,2.34,2.44,2,1,2,16,31.7,0.38,1,6,0.59,0,3,0,0,0,0
40343ebddf7243b6b47d28008bfa0439,State,Sciences,Physics,500,UTME,19,Male,Zamfara,OnCampus,Middle,168,71.7,SSCE,2.17,2.61,2,0,2,15,39.1,0.43,1,4,0.66,0,0,0,0,0,0
016168c7d4114bdf927d5fd4321bf9f7,Federal,Social Sciences,Psychology,300,DirectEntry,21,Female,Nasarawa,OnCampus,Low,199,84.1,ND,3.16,3.26,1,0,1,24,40.0,0.59,1,4,0.53,0,0,0,0,0,0
00472a2054d449e9bbbfa84fbe33f334,Federal,Sciences,Computer Science,300,UTME,20,Male,Oyo,OffCampus,Low,260,54.4,SSCE,2.17,2.09,0,3,0,24,31.2,0.49,3,3,0.53,0,3,0,0,0,0
ee040f5f09044638b5f55823911ab435,State,Management Sciences,Accounting,400,UTME,21,Female,Enugu,OffCampus,Middle,193,78.0,SSCE,1.68,2.32,3,0,5,20,40.0,0.85,3,12,0.46,1,5,0,0,0,0
f22af43c9495475e90a2214d9ba2fce1,Federal,Management Sciences,Banking and Finance,200,DirectEntry,20,Male,Kano,OffCampus,Middle,191,77.9,Alevel,3.08,3.22,2,1,3,26,40.0,0.52,5,8,0.56,0,1,0,0,0,0
7949a35453ba412187b6174f5138670b,Federal,Sciences,Mathematics,400,UTME,21,Male,Yobe,OnCampus,Middle,221,59.7,SSCE,2.71,3.32,0,0,1,22,34.9,0.48,5,7,0.81,0,0,0,0,0,0
a56af83f4a474c8a8cb6e41474b72c96,Federal,Sciences,Physics,100,UTME,20,Female,Imo,OffCampus,Low,221,66.7,SSCE,3.05,2.34,2,1,3,19,40.0,0.42,0,4,0.61,0,3,0,0,0,0
d96f0495d47e4258a467d6fca4e212d7,State,Sciences,Computer Science,300,UTME,21,Female,Osun,OffCampus,Low,193,74.4,SSCE,3.14,3.07,1,0,1,25,33.5,0.63,4,2,0.57,1,6,0,1,0,0
ec4aa0638ed44001994232af2aaa75c7,State,Social Sciences,Economics,400,UTME,20,Male,Katsina,OnCampus,Low,290,61.4,SSCE,4.08,4.04,0,0,0,22,40.0,0.76,4,4,0.74,0,1,0,0,0,0
1b932cc3b99a41f182d86a3480dfdc5e,State,Sciences,Computer Science,300,DirectEntry,22,Female,Cross River,OffCampus,Low,211,60.6,ND,2.91,2.83,1,0,2,19,33.9,0.5,4,2,0.62,0,2,1,0,0,0
7d169e5e94b84da1b1a4bb89e26aad11,State,Management Sciences,Banking and Finance,300,UTME,20,Female,Kogi,OnCampus,High,224,55.7,SSCE,2.79,2.58,2,5,3,19,30.0,0.56,4,4,0.63,0,1,0,0,0,0
03b81d49a6e549a68894654ed14bb2c3,State,Arts,Linguistics,300,UTME,19,Male,Cross River,OffCampus,Low,206,38.4,SSCE,3.65,3.31,1,0,1,26,40.0,0.86,4,9,0.48,0,5,0,0,0,0
66f7ee4964894e1986e0cccbe1eb86d7,State,Arts,Philosophy,100,UTME,17,Female,Abia,OffCampus,Low,235,62.7,SSCE,3.39,3.94,0,0,0,21,40.0,0.7,7,6,0.6,0,3,0,0,0,1
bf56dd3255a549a9a40130cc6ea33933,Federal,Social Sciences,Political Science,100,DirectEntry,21,Male,Delta,OnCampus,High,263,54.9,Alevel,3.33,2.87,1,2,2,19,40.0,0.63,5,7,0.45,0,1,0,1,0,0
91647645ea364070a699c90b0cca5737,Federal,Management Sciences,Banking and Finance,200,UTME,18,Male,Borno,OffCampus,Middle,278,51.2,SSCE,3.8,3.36,0,1,2,20,36.6,0.86,4,3,0.57,0,1,0,1,0,0
a75e239991ba43358ef1adbce5fe7783,State,Sciences,Computer Science,300,DirectEntry,20,Female,FCT,OffCampus,Middle,193,66.2,Alevel,3.44,3.46,1,0,1,20,34.2,0.56,1,6,0.61,0,1,0,1,0,0
db6a64075720410daba8fa559531d076,State,Engineering,Chemical Engineering,200,DirectEntry,21,Male,Rivers,OffCampus,Middle,259,47.5,ND,3.26,3.3,0,0,0,25,39.2,0.54,5,8,0.55,0,0,0,0,0,0
4e67d62cb1e24bf7beb8630aedc62ccb,State,Engineering,Chemical Engineering,200,UTME,19,Male,Gombe,OffCampus,High,239,70.1,SSCE,1.17,2.26,3,1,6,24,40.0,0.47,1,4,0.71,0,1,0,0,0,1
d0929753b9ac4badbf1692030356e6de,State,Management Sciences,Banking and Finance,400,DirectEntry,21,Female,Oyo,OnCampus,Low,254,66.8,ND,2.91,3.35,0,0,0,22,40.0,0.57,4,3,0.95,0,7,0,0,0,0
3ee31f4eeca34977b003d8b3c4ec8a9f,State,Social Sciences,Psychology,200,UTME,19,Male,Kebbi,OnCampus,Low,217,58.0,SSCE,2.54,2.36,1,1,3,22,39.2,0.32,3,3,0.72,0,6,0,0,0,1
79e8a729d34c4ee695cf3eafcc8fea4f,State,Arts,Philosophy,200,UTME,20,Female,Abia,OffCampus,High,213,61.4,SSCE,2.79,2.37,2,2,7,22,39.4,0.55,3,3,0.53,0,1,0,0,0,1
c588bc41eb7a488ca3f126637538a30d,State,Sciences,Microbiology,200,UTME,20,Female,Borno,OnCampus,Middle,253,50.1,SSCE,2.51,2.25,2,0,6,23,32.8,0.55,0,3,0.63,0,2,0,1,0,0
9c43ad7afe0246d0a71332fa4a2cb3e3,Federal,Management Sciences,Accounting,100,DirectEntry,23,Male,Sokoto,OnCampus,High,253,69.5,Alevel,3.92,3.95,0,1,0,26,40.0,0.67,4,2,0.74,0,1,0,0,0,0
65d8519d62ca493eb543923f41ef6366,Federal,Social Sciences,Psychology,400,DirectEntry,24,Male,Kwara,OffCampus,Low,275,63.9,ND,3.43,2.76,0,0,2,20,40.0,0.61,3,3,0.56,0,2,0,0,0,0
5f99ca58c5d64139b87261a9c8ff6086,Federal,Social Sciences,Sociology,200,UTME,21,Male,Sokoto,OnCampus,High,227,64.6,SSCE,3.69,3.34,0,0,2,26,40.0,0.66,1,9,0.88,0,0,0,1,0,0
af53d55a0ed84757b3abe6fce51a48ae,Federal,Management Sciences,Accounting,100,Transfer,22,Female,Ekiti,OffCampus,Low,216,67.0,ND,3.07,3.21,0,1,0,19,40.0,0.46,2,6,0.96,0,7,0,0,1,0
b36c732d49434e5da3684838b4b7e196,Federal,Engineering,Chemical Engineering,500,UTME,23,Male,Niger,OffCampus,Middle,134,55.6,SSCE,3.38,2.62,2,2,4,17,30.7,0.6,2,3,0.42,0,4,1,1,0,1
7a4174811a8a4831b16d32abf2b3713a,Private,Engineering,Civil Engineering,400,DirectEntry,23,Female,Ondo,OffCampus,High,164,46.8,ND,2.58,2.96,1,1,2,19,34.9,0.66,2,4,0.86,0,0,0,0,0,0
0b74d844b1c24ba090e86750df6114ad,Federal,Social Sciences,Sociology,400,DirectEntry,24,Male,Yobe,OnCampus,Low,206,71.6,ND,2.52,3.04,0,2,1,16,38.9,0.41,0,6,0.59,0,5,1,1,0,0
2738a66d58b8497f96db131ac8a23a6b,Federal,Sciences,Computer Science,400,UTME,20,Female,Abia,OffCampus,Low,181,68.9,SSCE,2.62,2.77,3,1,3,18,40.0,0.75,0,4,0.61,1,4,1,0,0,0
c0a98cdddbec4435abfc391ad9b35fc4,Federal,Engineering,Mechanical Engineering,400,UTME,21,Male,Taraba,OffCampus,Middle,248,56.6,SSCE,2.48,2.75,1,1,3,18,31.4,0.43,1,6,0.68,0,3,0,0,0,0
c9fc99dad33946c88d8f19a9c70976ed,Federal,Sciences,Microbiology,200,UTME,18,Male,Gombe,OffCampus,Middle,174,66.1,SSCE,2.16,2.29,2,2,4,24,35.4,0.39,2,2,0.82,0,0,0,0,0,0
c58b24e129b14460825400b79d1ffe1e,State,Sciences,Microbiology,300,DirectEntry,22,Male,Oyo,OffCampus,Low,202,74.6,ND,3.03,2.75,0,1,1,19,37.4,0.6,2,4,0.68,0,2,0,1,0,0
7bcb6d89e0f94309a6940d6a7e19b062,State,Management Sciences,Banking and Finance,300,UTME,19,Female,Katsina,OffCampus,High,204,73.4,SSCE,2.94,2.95,1,1,1,20,31.0,0.66,2,6,0.72,0,2,0,1,0,0
53e52f85125c4637acbcd6fa2b89d387,State,Social Sciences,Psychology,200,UTME,18,Female,Kebbi,OnCampus,Low,262,56.4,SSCE,3.38,3.38,1,1,2,28,39.5,0.73,4,8,0.82,0,2,0,0,0,0
ac64a9e2b5584fbc8a9cd8c0c3449550,State,Engineering,Electrical Engineering,200,UTME,20,Male,Enugu,OnCampus,Middle,199,47.1,SSCE,3.52,3.5,1,1,1,21,40.0,0.72,1,4,0.85,0,0,0,0,0,0
8e1fb70924f64d6d8f01b9027312c5c6,Federal,Engineering,Chemical Engineering,100,UTME,18,Male,Oyo,OffCampus,Low,236,48.8,SSCE,2.38,3.19,1,1,1,26,33.0,0.56,3,5,0.75,1,4,0,0,0,0
3a6910416dff4df48adeaf906e4f9481,State,Engineering,Electrical Engineering,300,UTME,17,Male,Ebonyi,OnCampus,High,227,58.9,SSCE,2.18,2.71,0,1,1,22,40.0,0.58,4,0,0.78,1,1,0,1,0,0
3dcb9dff77574d02871ddec81093a47a,Federal,Social Sciences,Economics,400,UTME,19,Male,Kano,OffCampus,Low,252,76.6,SSCE,1.76,1.89,2,1,3,16,35.9,0.45,5,4,0.48,1,5,0,1,0,0
0755b5043726461a805ffec1a672bdbc,Federal,Management Sciences,Accounting,400,DirectEntry,22,Female,Kebbi,OffCampus,Middle,250,54.7,ND,2.46,2.76,0,0,1,19,40.0,0.6,5,4,0.4,0,2,0,0,0,0
a4dffbfab4934898978817eeba2270a8,Federal,Management Sciences,Accounting,200,UTME,18,Female,Ogun,OnCampus,Low,219,56.0,SSCE,2.09,2.17,1,3,5,24,35.1,0.53,4,2,0.85,0,5,0,0,0,0
336a1763b2ce4a0d9c6e8233af53b708,State,Engineering,Mechanical Engineering,100,DirectEntry,20,Female,Kaduna,OffCampus,High,161,55.8,ND,2.87,2.38,1,0,1,21,30.3,0.48,3,2,0.46,0,0,0,0,0,0
37a63a1cc57544fd9ea4ca7c6805089b,State,Engineering,Mechanical Engineering,200,UTME,19,Male,Lagos,OffCampus,Middle,212,56.7,SSCE,3.07,3.1,0,0,2,22,37.0,0.57,3,5,0.6,0,1,0,1,0,0
ccca0c28d85a44a09f1a48e0052e1a51,Federal,Engineering,Electrical Engineering,300,Transfer,23,Male,Kano,OnCampus,Low,219,61.9,ND,2.49,2.95,0,0,0,24,40.0,0.37,1,6,0.61,0,4,0,0,0,0
3a24475393874c8ea4b4660d69b59f4c,State,Social Sciences,Political Science,400,UTME,22,Female,Lagos,OffCampus,Low,230,49.2,SSCE,3.71,3.99,0,0,0,16,40.0,0.8,3,9,0.68,1,4,0,0,0,0
59b3b2131d3a41bca302180e6c93a019,Federal,Social Sciences,Psychology,400,UTME,22,Male,Lagos,OffCampus,Middle,194,72.8,SSCE,3.73,3.13,1,0,2,24,40.0,0.65,8,3,0.58,0,1,1,0,0,0
e0d9ae4ead8a4842a6cd9c05b5b90550,State,Social Sciences,Sociology,400,UTME,22,Female,Nasarawa,OffCampus,Middle,260,60.6,SSCE,4.83,4.29,0,0,0,18,40.0,0.45,5,14,0.85,0,0,0,0,0,0
ae354f5d20a24ebea5f5d63e26d6ffe0,Federal,Social Sciences,Economics,400,UTME,21,Male,Oyo,OffCampus,Middle,220,86.8,SSCE,3.62,3.41,0,0,0,19,40.0,0.74,1,3,0.77,0,0,0,1,0,0
b4af1df74fae4f34a4d17c59567000d3,Federal,Engineering,Civil Engineering,500,UTME,23,Male,Katsina,OffCampus,Middle,188,50.3,SSCE,2.88,3.43,0,0,1,15,40.0,0.64,8,8,0.79,0,0,0,0,0,0
b64fb5c36e9c4f0eaeb642f4af534263,Federal,Engineering,Electrical Engineering,300,DirectEntry,23,Female,Borno,OffCampus,Middle,204,77.9,ND,2.84,2.73,1,1,3,25,29.4,0.46,4,10,0.72,0,1,0,0,0,0
9c79a876d42b4054bc7c283a9e8f949e,State,Engineering,Electrical Engineering,100,UTME,18,Male,Lagos,OnCampus,Middle,287,75.9,SSCE,2.93,2.8,2,0,3,21,39.2,0.46,3,6,0.59,0,2,0,0,0,0
8fcc2243600b47e282821f0bd46208a8,Federal,Sciences,Mathematics,100,UTME,20,Female,Anambra,OnCampus,Middle,243,57.9,SSCE,2.9,2.89,0,1,0,26,31.0,0.51,3,6,0.6,0,2,0,1,0,1
12c4d39ecec64b32b767b55fcd537066,Federal,Sciences,Microbiology,200,UTME,16,Male,Cross River,OffCampus,Low,257,58.0,SSCE,2.91,3.11,0,1,0,22,30.4,0.5,4,8,0.83,0,1,0,0,0,0
c6450f35947249f8a51946114bf3ee8b,Federal,Arts,Linguistics,200,UTME,19,Male,Ondo,OffCampus,Low,184,52.8,SSCE,2.23,2.36,0,1,0,20,32.9,0.44,4,6,0.53,0,4,0,2,0,0
9fce30d6983449e0b2224191c0fb7856,Private,Engineering,Mechanical Engineering,100,UTME,18,Male,Jigawa,OffCampus,Low,196,52.9,SSCE,2.01,2.23,1,0,3,22,40.0,0.73,2,6,0.52,0,3,0,1,0,0
a505c612d1f7422b8bed3f4c855dd50e,Private,Sciences,Biochemistry,500,UTME,23,Male,Kano,OffCampus,Middle,196,62.0,SSCE,2.71,3.11,0,0,1,18,40.0,0.66,5,6,0.81,0,3,0,0,0,0
f174709485414a7fa8c74b57b812b2e5,State,Social Sciences,Sociology,100,UTME,20,Male,Zamfara,OffCampus,Low,226,62.2,SSCE,2.87,2.39,0,1,1,23,40.0,0.78,4,8,0.61,1,10,0,1,0,0
653ea92aa94f402eb7846b202a8ec9e1,Federal,Arts,Philosophy,500,Transfer,23,Male,Delta,OffCampus,Middle,214,46.0,ND,2.45,2.14,1,0,5,22,38.2,0.54,4,5,0.52,0,2,0,0,0,0
224b45087816491a86ad9108b1f56e4f,Private,Sciences,Physics,400,UTME,23,Female,Abia,OffCampus,Low,203,84.9,SSCE,2.1,2.2,2,3,2,20,36.3,0.59,5,4,0.52,0,1,0,0,0,0
